,date,user,location,hashtags,urls,text
0,2020-05-07 12:15:41,iamcouture_b,"Washington, DC","['Trina', 'Khia', 'khias10hits', 'becomingnetflix', 'EarlThomas', 'SeanReed', 'BlackTwitter', 'Verzuz']","[{'url': 'https://t.co/VI5X8Qzr7z', 'expanded_url': 'https://youtu.be/5-oipluaOHY', 'display_url': 'youtu.be/5-oipluaOHY', 'indices': [28, 51]}]",Who you got in a rap battle https://t.co/VI5X8Qzr7z #Trina or #Khia #khias10hits #becomingnetflix #EarlThomas #SeanReed #BlackTwitter #Verzuz https://t.co/82sWAUzhQh
1,2020-05-07 11:03:50,Caryredbone,united states,"['ADOSPolitics', 'BlackTwitter', 'BlackHistoryMonth', 'FHTE', 'PureReparations', 'DownBallotVote']",[],#ADOSPolitics #BlackTwitter #BlackHistoryMonth #FHTE #PureReparations #DownBallotVote Votes are an Exchange not a given! Closed mouths never get fed! Time to get political or the impending economic collapse for the collective #ADOS lineage is pending sooner. https://t.co/xj4FSBvX0S https://t.co/Wdew2i2P0l
2,2020-05-07 11:02:39,AdosAngela,,"['ADOSPolitics', 'BlackTwitter', 'BlackHistoryMonth', 'FHTE', 'PureReparations', 'DownBallotVote', 'ADOS']","[{'url': 'https://t.co/xj4FSBvX0S', 'expanded_url': 'https://twitter.com/caryredbone/status/1258347546419888128', 'display_url': 'twitter.com/caryredbone/st…', 'indices': [259, 282]}]",#ADOSPolitics #BlackTwitter #BlackHistoryMonth #FHTE #PureReparations #DownBallotVote Votes are an Exchange not a given! Closed mouths never get fed! Time to get political or the impending economic collapse for the collective #ADOS lineage is pending sooner. https://t.co/xj4FSBvX0S https://t.co/Wdew2i2P0l
3,2020-05-07 10:29:33,NiaEllisTEDW,Boundless,"['ArrestThemNow', 'ArrestThemAllNow', 'AhmaudArbery', 'BlackTwitter', 'legacyoftrauma', 'AmericaStrong', 'JusticeForAhmaudArbery']",[],@SkinnerPm All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
4,2020-05-07 10:11:29,NiaEllisTEDW,Boundless,"['ArrestThemNow', 'ArrestThemAllNow', 'AhmaudArbery', 'BlackTwitter', 'legacyoftrauma', 'AmericaStrong', 'JusticeForAhmaudArbery']",[],@etanthomas36 All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
5,2020-05-07 10:07:16,seefinish,Nigeria,"['AhmadArbery', 'AhmaudArbery', 'USA', 'BlackTwitter']","[{'url': 'https://t.co/lAbalm4RI4', 'expanded_url': 'https://www.aljazeera.com/news/2020/05/us-video-shows-black-man-ahmaud-arbery-gunned-jogging-200507070340390.html', 'display_url': 'aljazeera.com/news/2020/05/u…', 'indices': [255, 278]}]","So sad, RIP Ahmaud Arbery's. 

Just because he was of the black race 😢😢 quite unfortunate for human or animals race  

Here is a video showing the shooting of an unarmed young black man while he was jogging

#AhmadArbery #AhmaudArbery #USA #BlackTwitter 
https://t.co/lAbalm4RI4"
6,2020-05-07 08:56:44,lialov77,"Bakersfield , CA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
7,2020-05-07 08:37:58,shanshaniese,Roun suh📍,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
8,2020-05-07 08:20:07,KirstenMacGreg2,"Utah, USA","['ArrestThemNow', 'ArrestThemAllNow']",[],@escapedmatrix All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
9,2020-05-07 08:16:53,tylersimms2003,,['blacktwitter'],[],#blacktwitter hey how are y’all kings queens doing I’m bored right now and I feel like snatching wigs and tearing down careers so if you have a video or a screenshot of somebody doing wrong and being racist like always give me first and last name and school and  I’ll handle it
10,2020-05-07 07:55:27,betterNyellow,United States,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
11,2020-05-07 06:46:26,yaninah,California,"['ArrestThemNow', 'ArrestThemAllNow']",[],@escapedmatrix All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
12,2020-05-07 06:33:47,matt_plants,"Downey, CA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
13,2020-05-07 06:16:51,thedarkmoonlady,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
14,2020-05-07 06:05:07,DodiePardalas,"Chicago, IL",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
15,2020-05-07 05:53:07,fleekmasterdee,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
16,2020-05-07 05:48:53,onlycasu,"Ypsilanti, MI",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
17,2020-05-07 05:48:09,TheHeauxHealer,"Brooklyn, NY",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
18,2020-05-07 05:37:16,IHE84878982,banner photo view from kitchen,"['ArrestThemNow', 'ArrestThemAllNow']",[],@escapedmatrix All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
19,2020-05-07 05:34:01,1weirdAlien,"Ewa Beach, HI",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
20,2020-05-07 04:44:01,gr00vys0ul,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
21,2020-05-07 04:37:20,Sahara_OG,Frank's Ocean ,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
